Message Name | Registration Method | Args | Origin
--- | --- | --- | ---
`SUCCESS_BUY_ABILITY_POINT` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame)`<br>`(frame, msg, argmsg, argnum)` | ablity_point_buy.lua<br>skillability.lua
`SUCCESS_EXTRACT_ABILITY_POINT` | `RegisterMsg` | `(frame, msg, argStr, type)` | ability_point_extractor.lua
`OPEN_DLG_ACCOUNTWAREHOUSE` | `RegisterMsg` | `(frame)` | accountwarehouse.lua
`ACCOUNT_WAREHOUSE_ITEM_LIST` | `RegisterMsg` | `(frame, msg, argStr, argNum, tab_index)` | accountwarehouse.lua
`ACCOUNT_WAREHOUSE_ITEM_ADD` | `RegisterMsg` | `(frame, msg, argStr, argNum, tab_index)` | accountwarehouse.lua
`ACCOUNT_WAREHOUSE_ITEM_REMOVE` | `RegisterMsg` | `(frame, msg, argStr, argNum, tab_index)` | accountwarehouse.lua
`ACCOUNT_WAREHOUSE_ITEM_CHANGE_COUNT` | `RegisterMsg` | `(frame, msg, argStr, argNum, tab_index)` | accountwarehouse.lua
`ACCOUNT_WAREHOUSE_ITEM_IN` | `RegisterMsg` | `(frame, msg, argStr, argNum, tab_index)` | accountwarehouse.lua
`ACCOUNT_WAREHOUSE_VIS` | `RegisterOpenOnlyMsg` | `(frame)` | accountwarehouse.lua
`UPDATE_COLONY_TAX_RATE_SET` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame)`<br>`(frame, msg, argstr, argnum)` | accountwarehouse.lua<br>appraisal.lua<br>briquetting.lua<br>colony_tax_board.lua<br>companionshop.lua<br>dialog.lua<br>icorrelease_multiple.lua<br>icorrelease_random_multiple.lua<br>itemdecompose.lua<br>itemoptionrelease.lua<br>itemoptionrelease_random.lua<br>itemrullet.lua<br>managegem.lua<br>pet_info.lua<br>repair140731.lua<br>shop.lua
`ACHIEVE_POINT_LIST` | `RegisterOpenOnlyMsg` | `(frame)` | achieve.lua
`ACHIEVE_POINT` | `RegisterOpenOnlyMsg` | `(frame)` | achieve.lua<br>status.lua
`ACHIEVE_NEW` | `RegisterMsg` | `(frame, msg, argStr, classID)` | achieve.lua
`ACHIEVE_RANK` | `RegisterMsg` | `(frame, msg, argStr, classID)` | achieve.lua
`UPDATE_ADVENTURE_BOOK` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | adventure_book.lua
`ADVENTURE_BOOK_MAIN_RANKING` | `RegisterMsg` | `()` | adventure_book.lua
`ADVENTURE_BOOK_ITEM_RANKING` | `RegisterMsg` | `()` | adventure_book.lua
`ADVENTURE_BOOK_RANKING_PAGE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | adventure_book.lua
`ADVENTURE_BOOK_MY_RANK_UPDATE` | `RegisterMsg` | `()` | adventure_book.lua
`ADVENTURE_BOOK_RANK_SEARCH` | `RegisterMsg` | `()` | adventure_book.lua
`UPHILL_RANK_PAGE` | `RegisterMsg` | `()` | adventure_book.lua
`ADVENTURE_BOOK_UPHILL_RANK_SEARCH` | `RegisterMsg` | `()` | adventure_book.lua
`PVP_PC_INFO` | `RegisterMsg` | `()`<br>`(frame, msg, argStr, argNum)` | adventure_book.lua<br>guildbattle_league.lua<br>propertyshop.lua<br>worldpvp.lua
`WORLDPVP_RANK_PAGE` | `RegisterMsg` | `()`<br>`(frame, msg, strarg, numarg)` | adventure_book.lua<br>ingameeventbanner.lua<br>worldpvp.lua
`PVP_STATE_CHANGE` | `RegisterMsg` | `()`<br>`(frame,ctrl,argStr,argNum)`<br>`(frame, msg, pvpType)` | adventure_book.lua<br>guildbattle_league.lua<br>induninfo.lua<br>party.lua<br>worldpvp.lua
`PVP_PROPERTY_UPDATE` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)`<br>`()` | adventure_book.lua<br>guildbattle_league.lua<br>propertyshop.lua<br>worldpvp.lua
`UPDATE_ADVENTURE_BOOK_REWARD` | `RegisterMsg` | `()`<br>`(frame, msg, argStr, argNum)` | adventure_book.lua<br>adventure_book_reward.lua
`UPDATE_ADVENTURE_BOOK_CONTENTS_POINT` | `RegisterMsg` | `()` | adventure_book.lua
`UPDATE_WORLDPVP_GAME_LIST` | `RegisterMsg` | `()` | adventure_book.lua<br>worldpvp.lua
`SHOP_POINT_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | adventure_book.lua<br>propertyshop.lua
`AETHER_GEM_REINFORCE_MAX_COUNT` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | aether_gem_reinforce.lua
`OPEN_DLG_ARTHER_GEM_REINFORCE` | `RegisterMsg` | `(frame)` | aether_gem_reinforce.lua
`AETHER_GEM_REINFORCE_RESULT` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | aether_gem_reinforce.lua
